"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"Map","","Wearable - Location","","<p>User's vehicle has a location</p>","Sanity","<ul><li>User should see a static map view with a pin at the currently selected vehicle's location</li></ul>","<ol><li>Login into the app</li><li>Navigate to the Vehicle Location from Home &gt;My Car finder OR Map&gt;Vehicle Location card.</li><li>See the vehicle in the Map screen</li><li>All the data loads correctly</li></ol>","853","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.438Z","Diego Del Aguila","60","","42.769","","Active","Passed","2026-01-15T23:03:20.378Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:21:34.634Z","Gemma Diaz Santa Cruz"
"Address","","Wearable - Location","","<p>User's vehicle has a location and is on the Location screen </p><p>(Home screen &gt; My Car Finder</p><p>Map&gt; Vehicle location</p>","Sanity","<p>User should see the vehicle's address under the map. User should see 3 dots as the loading state.</p>","","854","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.446Z","Diego Del Aguila","60","","60.12","","Active","Passed","2026-01-15T23:03:20.378Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:21:41.546Z","Gemma Diaz Santa Cruz"
"Directions","","Wearable - Location","","<p>User's vehicle has a location and is on the Map screen</p><p>You see the card Vehicle Location</p>","Critical","<p>User should be able to get walking directions to their vehicle's location in the native maps app</p>","<p>1. Tap anywhere on the map image</p>","855","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.453Z","Diego Del Aguila","60","","43.889","","Active","Passed","2026-01-15T23:03:20.378Z","","regression,smoke","Case (steps)","2025-10-15T16:39:40.797Z","Diego Del Aguila"
"Error State","","Wearable - Location","","User's vehicle location was not obtained and is on the Location screen","Medium","User should see an error state indicating location could not be fetched","1. Navigate to the 4th screen","1630","No","Android, Prod,Prod, iOS","2023-08-28T20:13:25.336Z","Diego Del Aguila","","","72.5","","Draft","Passed","2024-09-17T07:13:47.861Z","","regression","Case (steps)","2024-10-17T17:57:05.010Z","Diego Del Aguila"
"Error State - Blank Image","","Wearable - Location","","<p>User's vehicle location was not obtained and is on the Location screen</p>","Medium","<p>Nothing should happen</p>","<p>1. Tap anywhere on the blank image</p>","1631","No","Android, Prod,Prod, iOS","2023-08-28T20:13:25.353Z","Diego Del Aguila","","","46.5","","Draft","Passed","2024-09-17T07:15:47.374Z","","regression,update-required","Case (steps)","2024-10-17T17:57:05.010Z","Diego Del Aguila"
"Vehicle Locator Success","","Wearable - Location","","User received a vehicle locator success notification (vehicle location is refreshed and is successfully returned)","Medium","User should see the wearable app open to the location screen","1. Tap the notification on the wearable device","1632","No","Android, Prod,Prod, iOS","2023-08-28T20:13:25.370Z","Diego Del Aguila","","","","","Draft","Skipped","2024-08-29T11:34:43.530Z","","regression","Case (steps)","2024-10-17T17:57:05.010Z","Diego Del Aguila"
"Stolen Vehicle Locator","","Wearable - Assist","<p>The Phone numbers should be </p><ul><li><strong>Nissan NNA</strong> &gt; 1-844-711-8100</li><li><strong>Nissan NCI</strong> &gt; 1-844-711-8200</li><li><strong>Infiniti NCI</strong> &gt; 1-855-892-7418</li><li><strong>Infiniti NNA</strong> &gt; 1-800-334-7858</li></ul>","<p>User is on the Assist screen and has the Stolen Vehicle Locator capability</p>","Sanity","<p>User should see a modal to call the Stolen Vehicle Locator number and be able to call</p>
<p>The user should be back to the main app</p>","<ol><li>Tap Stolen Vehicle Locator</li><li>Tap Call</li><li>Open the Android/iOs call window</li></ol>
<ol><li>Tap Stolen Vehicle Locator</li><li>Tap Call</li><li>Tap back button</li><li>Go back to the app</li></ol>","856","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.460Z","Diego Del Aguila","120","","48.552","","Active","Passed","2026-01-15T23:04:12.435Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:21:05.215Z","Gemma Diaz Santa Cruz"
"Nissan Customer Care","","Wearable - Assist","<ul><li>Nissan NNA number is accurate as of Oct. 24, 2023 - phone numbers to be moved out to a more central location at a later time</li></ul>","<p>User is on the Assist screen</p>","Sanity","<ol><li>User should see a modal to call the Customer Care phone number</li><li>User should be able to call:</li></ol><figure class=""table""><table><tbody><tr><td> </td><td>NNA</td><td>NCI</td></tr><tr><td>Nissan</td><td>1 (855) 426-6628</td><td>1-800-387-0122</td></tr><tr><td>Infiniti</td><td>1 (855) 444-7244</td><td>1-800-361-4792</td></tr></tbody></table></figure>
<p>Modal should dismiss itself</p>
<p>User should see a modal to call the Customer Care phone number:</p><ul><li>1 (877) 980-4968</li></ul>
<p>User should be seeing the Email default app opening with email:</p><ul><li><a href=""mailto:QX80ClientExperienceCoordinator@Infiniti.com""><u>QX80ClientExperienceCoordinator@Infiniti.com</u></a></li></ul>","<ol><li>Tap NISSAN Customer Care</li><li>Tap Call</li></ol>
<ol><li>Tap NISSAN Customer Care</li><li>Tap Call</li><li>Tap Cancel</li></ol>
<ol><li>Tap NISSAN Customer Care</li><li>Tap Call Client Experience Coordinator</li><li>Tap Cancel</li></ol>
<ol><li>Tap NISSAN Customer Care</li><li>Tap Email Client Experience Coordinator</li><li>Tap Cancel</li></ol>","857","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.468Z","Diego Del Aguila","120","","54.64","","Active","Passed","2026-01-15T23:04:12.435Z","","general-sweep,regression,smoke,update-required","Case (steps)","2025-09-19T21:21:12.605Z","Gemma Diaz Santa Cruz"
"Concierge/Personal Assistant","<p>The user is on the Assist screen and has the <code>Concierge/Personal assist </code>capability</p><p>NOTE: removed for NCI</p>","Wearable - Assist","","<p>User is on the Assist screen and has the Concierge capability</p>","Medium","<p>1. The user should see a modal to call the Personal Assistant's phone number<br />2. The user should be able to call: 1-888-717-1411</p><p><br /><br /> </p>
<p> Modal should dismiss itself</p>","<ol><li>Tap Concierge</li><li>Tap Call</li></ol>
<ol><li>Tap Concierge</li><li>Tap Call</li><li>Tap  Cancel</li></ol>","858","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.480Z","Diego Del Aguila","120","","43.5","","Active","Skipped","2024-09-17T07:45:08.236Z","","regression,smoke,update-required","Case (steps)","2024-10-17T17:57:05.010Z","Diego Del Aguila"
"Roadside Assistance","","Wearable - Assist","<p>To be updated:<br />- Get Roadside Assistance Online applies to both brands for NNA only (not only INF)<br />- incorrect URL - refer to <a href=""https://www.pivotaltracker.com/story/show/188266553"">https://www.pivotaltracker.com/story/show/188266553</a> for the correct URLs per brand</p>","<p>User is on the Assist screen and has the Roadside Assistance capability</p>","Sanity","<ol><li>User should see a modal to call the Roadside Assistance phone number</li><li>User should be able to call:<ul><li>Nissan - NNA: 1-800-225-2476</li><li>Nissan - NCI: 1-800-267-5936</li><li>Infiniti - NNA: 1-800-835-0221</li><li>Infiniti - NCI: 1-800-361-4792</li></ul></li></ol>
<p>Modal should dismiss itself</p>
<p>The user should be redirect to &gt; <a href=""https://responseroadservice.com/auth/signin""><u>https://responseroadservice.com/auth/signin</u></a></p>","<ol><li>Tap Roadside Assistance</li><li>Tap Call</li></ol>
<ol><li>Tap Roadside Assistance</li><li>Tap Call</li><li>Tap Cancel</li></ol>
<p>For Infiniti</p><ol><li>Tap Roadside Assistance</li><li>Tap <strong>Get Roadside Assistance Online</strong></li></ol>","859","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.488Z","Diego Del Aguila","120","","45.16","","Active","Passed","2026-01-15T23:04:12.435Z","","general-sweep,regression,smoke,update-required","Case (steps)","2025-09-19T21:21:22.009Z","Gemma Diaz Santa Cruz"
"Assist Capabilities","","Wearable - Assist","<ul><li>test case to be updated with details from <a href=""https://www.pivotaltracker.com/story/show/185923376"">https://www.pivotaltracker.com/story/show/185923376</a></li><li>For a SHARED driver, if the capability is missing or disabled, the item should be hidden</li></ul>","<p>Capabilities list to test:<br />- `STOLEN_VEHICLE_LOCATOR` (Stolen Vehicle Locator)<br />- `CONCIERGE_PERSONAL_ASSISTANCE` (Personal Assistant)<br />- `ROADSIDE_ASSISTANCE` (Roadside Assistance)</p>","Low","<p>1. User should not see those items on the Assist screen<br />2. User should see the items greyed out and upon tapping, nothing happens</p>","<p>1. Remove an item from the capabilities list<br />2. Repeat steps 1-2, but disable the status instead of removing it from the capabilities list</p>","1633","No","Android, Prod,Prod, iOS","2023-08-28T20:13:25.403Z","Diego Del Aguila","","","368.333","","Draft","Passed","2024-09-30T07:40:07.210Z","","regression,update-required","Case (steps)","2024-10-17T17:57:05.010Z","Diego Del Aguila"
"Logout","","Wearable - Logout","","<ul><li>Mobile App is logged in with a valid account with a Connected Vehicle</li><li>Mobile App is open</li><li>Wearable App is open</li></ul>","Critical","<p>User should be logged out on the Wearable App</p>","<p>Logout from the Mobile App and validate the Wearable App</p>","860","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.496Z","Diego Del Aguila","60","","20.667","","Active","Passed","2026-01-21T17:33:26.716Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:20:55.587Z","Gemma Diaz Santa Cruz"
"Push Notification Registration - First Login Success","","Push Notifications","","<ol><li>Feature Flag: <code>EnableNewMutationForPushNotificationRegistration</code><ol><li>Enabled: <code>true</code> --&gt; <code>RegisterDeviceForPushNotifications</code> endpoint</li></ol></li><li>No token is cached (e.g., clean installation).</li></ol><p><br /> </p>","Sanity","<p>Verify <code>RegisterDeviceForPushNotifications</code> call is made.</p><pre><code class=""editor-plain language-plain code-block"">Example response:
{
  ""data"": {
    ""registerDeviceForPushNotifications"": {
      ""__typename"": ""GeneralMessage"",
      ""message"": ""Device Registered successfully""
    }
  }
}</code></pre>
<p>There shouldn't be any additional call to <code>RegisterDeviceForPushNotifications</code></p>","<p>Login to app</p>
<p>Close the app and reopen</p>","29930","No","Android, Prod,Prod, iOS","2025-01-13T19:20:46.506Z","Gemma Diaz Santa Cruz","","","88","188759657,188762615","Active","Passed","2026-01-19T15:34:58.536Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:19:32.039Z","Gemma Diaz Santa Cruz"
"Push Notification Registration - Error and Retries","","Push Notifications","","<ol><li>Feature Flag: <code>EnableNewMutationForPushNotificationRegistration</code><ol><li>Enabled: <code>true</code> --&gt; <code>RegisterDeviceForPushNotifications</code> endpoint</li></ol></li><li>No token is cached (e.g., clean installation).</li><li><strong>BreakPoint</strong> `RegisterDeviceForPushNotifications` API</li><li>API Failures should be a 503 response, do this by doing a map local to the Register Push Notifications Endpoints</li></ol>","Critical","<p>Verify `RegisterDeviceForPushNotifications` has been made</p>
<p>The app should retry the call with the following schedule:</p><ol><li>First Retry 30 seconds after the first API call failed.</li><li>Second Retry 60 seconds after the previous API call fails.</li><li>Third Retry 90 seconds after the previous API call fails.</li><li>Fourth and Last Retry 120 seconds after the last API call fails.</li></ol>","<p>Login to app </p>
<p>Simulate a proper API error (503)</p>","29931","No","Android, Prod,Prod, iOS","2025-01-13T19:30:34.612Z","Gemma Diaz Santa Cruz","","","64","188759657,188762615","Active","","","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:19:39.304Z","Gemma Diaz Santa Cruz"
"Push Notification Registration - Retry on App Relaunch","","Push Notifications","","<ol><li>Feature Flag: <code>EnableNewMutationForPushNotificationRegistration</code><ol><li>Enabled: <code>true</code> --&gt; <code>RegisterDeviceForPushNotifications</code> endpoint</li></ol></li><li>No token is cached.</li></ol>","Critical","<p>Verify <code>RegisterDeviceForPushNotifications</code> shows as failed</p>
<p>Verify <code>RegisterDeviceForPushNotifications</code> is trigger again after a cold start with the retry logic applied.</p>","<p>Login to app and breakpoint <code>RegisterDeviceForPushNotifications</code> to fail including all retries</p>
<p>Close the app and relaunch</p>","29933","No","Android, Prod,Prod, iOS","2025-01-13T23:17:57.106Z","Gemma Diaz Santa Cruz","","","64","188759657,188762615","Active","","","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:19:47.839Z","Gemma Diaz Santa Cruz"
"App Receives a Push Notification","","Push Notifications","","<ol><li>User is logged in</li><li>App has Push Notifications registered</li><li>Device allows Push Notifications</li></ol>","Sanity","<p>User should be able to see the push notifications arrive</p>","<p>Trigger a push notification</p>","823","No","Android, Prod,Prod, iOS","2023-08-01T23:08:23.211Z","Diego Del Aguila","","","151.957","","Active","Passed","2026-01-27T14:24:09.271Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:19:54.507Z","Gemma Diaz Santa Cruz"
"Revoke Token","","Push Notifications","","<p>User is already logged in</p>","Low","<p>App should call <code>UnregisterPushNotifications</code> and revoke the token</p>","<p><code>SIGN OUT</code> of the app</p>","1617","No","Android, Prod,Prod, iOS","2023-08-28T20:13:25.125Z","Diego Del Aguila","","","47.5","","Active","Passed","2024-09-05T20:58:12.815Z","","infiniti,nci,nissan,regression","Case (steps)","2025-01-15T22:56:16.613Z","Diego Del Aguila"
"Deeplink validation","<p>Validate the app is navigating the user to the proper page when opening a deeplink</p>","Push Notifications","","<ol><li>The target app (MyNissan or MyInfiniti) is already installed</li><li>The user is already logged in</li></ol>","Critical","<p>The app should navigate the user to the proper place</p>","<ol><li>Open any deeplink testing tool, e.g. <a href=""https://halgatewood.com/deeplink"">https://halgatewood.com/deeplink</a></li><li>Enter the proper deeplink for the brand you are testing</li></ol><figure class=""table""><table><tbody><tr><td>Deeplink</td><td>Logged In</td><td>Navigates to</td></tr><tr><td><code>mynissan://demo_mode</code></td><td>NO</td><td>Demo Mode Home Screen</td></tr><tr><td><code>myinfiniti://<u>vehicle_status/?screen=mil</u></code></td><td>YES</td><td>Vehicle Status, MIL Tab Selected</td></tr></tbody></table></figure><p>3. Tap on the Deeplink</p>","24275","No","Android, Prod,Prod, iOS","2024-10-17T19:18:35.429Z","Diego Del Aguila","","","105","","Active","Passed","2026-01-19T15:33:23.766Z","","general-sweep,regression,smoke","Case (steps)","2025-09-19T21:20:04.902Z","Gemma Diaz Santa Cruz"
"[WIP] Create Specific Action Push Notifications TC","","Push Notifications","","","Medium","","","1641","No","","2023-09-01T20:52:59.156Z","Diego Del Aguila","","","","","Rejected","Skipped","2024-09-26T22:01:50.518Z","","","Case (steps)","2025-01-15T22:54:15.424Z","Diego Del Aguila"
"Notification permissions","","Device Notifications","Android 13+","User has never allowed/disallowed notification permissions","Low","User should see alert to Allow or Don't Allow notifications","1. Launch app","1433","No","Android, Prod,Prod, iOS","2023-08-28T20:13:21.972Z","Diego Del Aguila","","","124.667","","Draft","Passed","2024-08-21T16:26:55.484Z","","regression","Case (steps)","2024-10-17T17:57:34.769Z","Diego Del Aguila"
"Allow Notifications","","Device Notifications","Android 13+","User is on notifications permissions alert","Low","App should register for push notifications","1. Tap Allow Notifications","1434","No","Android, Prod,Prod, iOS","2023-08-28T20:13:21.993Z","Diego Del Aguila","","","81","","Draft","Passed","2024-08-21T16:27:01.935Z","","regression","Case (steps)","2024-10-17T17:57:34.769Z","Diego Del Aguila"
"Don't Allow Notifications","","Device Notifications","Android 13+","User is on notifications permissions alert","Low","App should not register for push notifications until user allows notifications in their device settings","1. Tap Don't Allow Notifications","1435","No","Android, Prod,Prod, iOS","2023-08-28T20:13:22.011Z","Diego Del Aguila","","","137.667","","Draft","Passed","2024-08-21T16:27:07.581Z","","regression","Case (steps)","2024-10-17T17:57:34.769Z","Diego Del Aguila"
"Biometrics","","Old / Deprecated","","<p>User is on the login screen and has not yet used biometrics</p>","Retired","<p>1. User should see an alert explaining how to turn on biometrics<br />2. User should see an biometric alert<br />3. User should see the iOS biometrics permissions modal (for Face ID)<br />4. User should see biometric authentication should occur to enable biometrics. If biometric authentication fails twice, user should see the fallback alert with the option to enter password to enable biometrics<br /><br />Note: If user declines either of pop ups, biometrics should be disabled</p>","<p>1. Tap the face/touch ID icon<br />2. Sign in<br />3. Accept the biometric alert<br />4. Accept the iOS biometrics permissions</p>","550","No","","2023-08-01T23:08:19.619Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Biometrics","","Old / Deprecated","","<p>User already has biometrics enabled</p>","Retired","<p>User should see biometric sign in automatically begin<br /><br />Tapping on the biometrics icon will also trigger biometric login</p>","<p>1. Launch the app to the login screen</p>","551","No","","2023-08-01T23:08:19.632Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"MIL Alert History","","Old / Deprecated","","","Retired","","","1486","No","","2023-08-28T20:13:22.886Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Theft/Burglar/Tow Notification History","","Old / Deprecated","","","Retired","","","1487","No","","2023-08-28T20:13:22.897Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"HVAC History","","Old / Deprecated","","","Retired","","","1488","No","","2023-08-28T20:13:22.908Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"15 minute error","","Old / Deprecated","","<p>User is adding or editing a charge schedule</p>","Retired","<p>1. User should see start and end times filled in<br />2. User should see selected days highlighted<br />3. User should see unable to save (15 min) error modal<br />4. User should see error modal dismissed</p>","<p>1. Set the start time so that it is within the next 15 minutes of the current time and fill in end time<br />2. Set the days of the week such that it includes today<br />3. Tap to Create Schedule<br />4. Tap Ok</p>","1510","No","","2023-08-28T20:13:23.281Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"15 minute error","","Old / Deprecated","","<p>User is adding or editing a climate schedule</p>","Retired","<p>1. User should see departure time filled in<br />2. User should see selected days highlighted<br />3. User should see unable to save (15 min) error modal<br />4. User should see error modal dismissed</p>","<p>1. Set the departure time so that it is within the next 15 minutes of the current time<br />2. Set the days of the week such that it includes today<br />3. Tap to Create Schedule<br />4. Tap Ok</p>","1516","No","","2023-08-28T20:13:23.389Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"No Vehicle","","Old / Deprecated","","<p>User is on the no vehicle homescreen</p>","Retired","<p>User should see the add vehicle sheet</p>","<p>1. Tap Add Vehicle button</p>","561","No","","2023-08-01T23:08:19.754Z","Diego Del Aguila","","","22.4","","Retired","Passed","2023-08-31T19:47:16.724Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Lock Status Update","","Old / Deprecated","","","Retired","<p>1. User should see lock/unlock icon update when lock/unlock is successful</p>","<p>1. Tap to Lock/Unlock the vehicle</p>","577","No","","2023-08-01T23:08:19.967Z","Diego Del Aguila","","","76.667","","Retired","Skipped","2023-09-05T19:00:22.181Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Validate My Vin - Connected","","Old / Deprecated","<p>[VW] only use the pathfinder and frontier accounts for add/remove vehicle<br />- this depends on MW response</p>","<p>User has entered a valid VIN for a connected vehicle that has previously been added</p>","Retired","<p>1. User should see the Terms and Conditions screen for connected vehicles and SAVE should be disabled<br />2. User should see dialer open with phone number<br />3. User should see link open in webview or browser<br />4. User should see SAVE become enabled<br />5. User should see modal appear indicating successful VIN validation<br />6. Modal is dismissed, user is taken to home screen with vehicle added</p>","<p>1. Tap Validate VIN<br />2. Tap on a phone number<br />3. Tap on a link<br />4. Tap the checkbox<br />5. Tap SAVE<br />6. Tap Ok</p>","1496","No","","2023-08-28T20:13:23.040Z","Diego Del Aguila","","","","","Retired","Skipped","2023-09-01T00:03:59.802Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Turn Off Climate - Modal Dismissed","","Old / Deprecated","","<p>AVK2 vehicle<br /><br />Climate is ON</p>","Retired","<p>1. There should be a confirmation modal shown to the user with the following details:<br /><br />Title: Are you sure?<br />Body: Turning climate off will also stop your vehicle’s engine. Would you like to proceed?<br />CTA: No, Yes<br /><br />2. The modal should be dismissed and the user should stay on the same screen with the same state</p>","<p>1. Tap on Turn Off Climate<br />2. User taps No</p>","2678","No","","2023-09-07T21:10:07.614Z","Allen Chen","","","","","Draft","","","","","Case (steps)","2025-01-28T22:54:28.895Z","Gemma Diaz Santa Cruz"
"Capabilities","","Old / Deprecated","[VW] duplicate of row 185","","Retired","1. User should see the corresponding quick action in the enabled state<br />
2. User should see the corresponding quick action in the disabled state<br />
3. User should not see the corresponding quick action","1. Enable each of the capabilities<br />
2. Disable each of the capabilities<br />
3. Delete each of the capabilities<br />
<br />
REMOTE_CHARGING<br />
REMOTE_CLIMATE_CONTROL<br />
REMOTE_DOOR_UNLOCK<br />
REMOTE_DOOR_LOCK<br />
REMOTE_ENGINE<br />
REMOTE_HORN_LIGHTS","1515","No","","2023-08-28T20:13:23.365Z","Diego Del Aguila","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver should see the Additional Driver Card","","Old / Deprecated","","User has a AVK2 vehicle<br />
User is a PRIMARY_DRIVER<br />
User has no pending invitations","Retired","1. The Home Page should display the Additional Driver Card","1. Mock the UserVehicles response with:<br />
1.1. data.vehicles.driverType: ""PRIMARY_DRIVER""<br />
1.2. data.pendingDriverInvitations: null<br />
<br />
2. Login to the app","2698","No","","2023-09-07T21:29:11.969Z","Allen Chen","","","49","","Retired","Passed","2023-11-24T13:08:45.496Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Shared Driver with no Pending Invite should not see the Additional Driver Card","","Old / Deprecated","","User has a AVK2 vehicle<br />
User is a SHARED_DRIVER<br />
User has no pending invitations","Retired","1. The Home Page should not display the Additional Driver Card","1. Mock the UserVehicles response with:<br />
1.1. data.vehicles.driverType: ""SHARED_DRIVER""<br />
1.2. data.pendingDriverInvitations: null<br />
<br />
2. Login to the app","2699","No","","2023-09-07T21:29:11.978Z","Allen Chen","","","39","","Retired","Passed","2023-11-24T11:08:59.151Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Shared Driver with Pending Invite should see the Additional Driver Card","","Old / Deprecated","","User has a AVK2 vehicle<br />
User is a SHARED_DRIVER<br />
User has at least one pending invitation","Retired","1. The Home Page should display the Additional Driver Card","1. Mock the UserVehicles response with:<br />
1.1. data.vehicles.driverType: ""SHARED_DRIVER""<br />
1.2. data.pendingDriverInvitations:<br />
<br />
""pendingDriverInvitations"": {<br />
      ""__typename"": ""PendingDriverInvitationsSuccessResponse"",<br />
      ""invites"": [<br />
        {<br />
          ""__typename"": ""PendingDriverInvite"",<br />
          ""inviteId"": 999,<br />
          ""inviterFirstName"": ""FirstName"",<br />
          ""inviterLastName"": ""LastName"",<br />
          ""vin"": ""PN1FV7DP6NM371003"",<br />
          ""vehicleModel"": ""ROGUE"",<br />
          ""vehicleYear"": 2023,<br />
          ""inviteDateTime"": ""2023-04-26T10:49:30.033Z"",<br />
          ""expiresIn"": 2<br />
        }<br />
      ]<br />
    }<br />
<br />
2. Login to the app","2700","No","","2023-09-07T21:29:11.985Z","Allen Chen","","","38","","Retired","Passed","2023-11-24T11:11:09.191Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver and Additional Driver Page Empty","","Old / Deprecated","","<p>User has a AVK2 vehicle<br />User is already on the Home Page<br />User is a PRIMARY_DRIVER without pending invitations</p>","Retired","<p>1. User is driven to the Additional Driver page, it should display a message ""No Additional Drivers"" and a button ""ADD A DRIVER"" enabled.</p>","<p>1. The user is able to see the Additional Driver card, and then taps on the card<br /><br />* for PRIMARY_DRIVER there is an additional call made to DriverInvites, to have 0 invites on this endpoint, just mock the response to:<br /><br />{<br />""data"": {<br />""driverInvites"": {<br />""__typename"": ""DriverInvitesSuccessResponse"",<br />""invites"": null<br />}<br />}<br />}</p>","2701","No","","2023-09-07T21:29:11.992Z","Allen Chen","","","","","Retired","Retest","2023-11-24T11:23:19.599Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver with Pending Additional Driver Invitation","","Old / Deprecated","","<p>User has a AVK2 vehicle<br />User is already on the Home Page<br />User is a PRIMARY_DRIVER with pending invitation(s) (1 to 3 invitations)</p>","Retired","<p>1. User is driven to the Additional Driver page, it should display as many cards as pending invitations there are.<br />2. Each card should show the First and Last Names of the invitee and the status of the invitation (Accepted, Pending, Declined, Canceled)<br />3. The button ""ADD A DRIVER"" should be displayed and enabled at the bottom</p>","<p>1. The user is able to see the Additional Driver card, and then taps on the card<br />2. The user is able to see the pending invitations with status obtained from the driverInvites call:<br /><br />- ACCEPTED <br />- PENDING or RESEND<br />- DECLINE<br />- CANCEL</p>","2702","No","","2023-09-07T21:29:11.999Z","Allen Chen","","","34","","Retired","Passed","2023-11-24T12:04:26.853Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver with 4 Accepted Additional Driver Invitation","","Old / Deprecated","","<p>User has a AVK2 vehicle<br />User is already on the Home Page<br />User is a PRIMARY_DRIVER with 4 accepted invitations</p>","Retired","<p>1. User is driven to the Additional Driver page, it should display as many cards as pending invitations there are.<br />2. Each card should show the First and Last Names of the invitee and the status.<br />3. The button ""ADD A DRIVER"" should be displayed at the bottom, but disabled.</p>","<p>1. The user is able to see the Additional Driver card, and then taps on the card<br />2. The user is able to see the pending invitations obtained from the driverInvites call</p>","2703","No","","2023-09-07T21:29:12.006Z","Allen Chen","","","54","","Retired","Passed","2023-11-24T11:29:30.180Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver with Expired Additional Driver Invitation","","Old / Deprecated","","User has a AVK2 vehicle<br />
User is already on the Home Page<br />
User is a PRIMARY_DRIVER with expired Additional Driver Invitation","Retired","1. User is driven to the Additional Driver page, it should display as many cards as pending invitations there are.<br />
2. Each card should show the First and Last Names of the invitee and the status of the invitation should be ""Invite Expired""","1. The user is able to see the Additional Driver card, and then taps on the card<br />
2. The user is able to see the pending invitations<br />
2.1 On the driverInvites call, for obtaining the expired invitation the parameter inviteExpiryDateTime should be before than the current system datetime.","2704","No","","2023-09-07T21:29:12.013Z","Allen Chen","","","","","Retired","","","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Primary Driver with errors on the driverInvites call","","Old / Deprecated","","<p>User has a AVK2 vehicle<br />User is already on the Home Page<br />User is a PRIMARY_DRIVER with expired Additional Driver Invitation</p>","Retired","<p>1. User is driven to the Additional Driver page, it should display a message ""No Additional Drivers"" and a button ""ADD A DRIVER"" enabled.</p>","<p>1. The user is able to see the Additional Driver card, and then taps on the card<br />2. The driverInvites call failed or has errors</p>","2705","No","","2023-09-07T21:29:12.019Z","Allen Chen","","","26","","Retired","Passed","2023-11-24T11:59:15.667Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
"Shared Driver with No Invites on the pendingDriverInvitations object","","Old / Deprecated","","User has a AVK2 vehicle<br />
User is a SHARED_DRIVER<br />
User has no Pending Driver Invitations","Retired","1. The user should not see Additional Drivers card<br />
The user should not see the Additional Driver Invite card","1. The user lands on the Home Screen","2706","No","","2023-09-07T21:29:12.026Z","Allen Chen","","","32","","Retired","Passed","2023-11-24T11:56:56.042Z","","","Case (steps)","2025-09-19T21:13:59.475Z","Diego Del Aguila"
